"","sepal.length","sepal.width","petal.length","petal.width","variety"
"3",4.7,3.2,1.3,0.2,"Setosa"
"10",4.9,3.1,1.5,0.1,"Setosa"
"11",5.4,3.7,1.5,0.2,"Setosa"
"28",5.2,3.5,1.5,0.2,"Setosa"
"47",5.1,3.8,1.6,0.2,"Setosa"
"51",7,3.2,4.7,1.4,"Versicolor"
"59",6.6,2.9,4.6,1.3,"Versicolor"
"77",6.8,2.8,4.8,1.4,"Versicolor"
"79",6,2.9,4.5,1.5,"Versicolor"
"93",5.8,2.6,4,1.2,"Versicolor"
"111",6.5,3.2,5.1,2,"Virginica"
"132",7.9,3.8,6.4,2,"Virginica"
"140",6.9,3.1,5.4,2.1,"Virginica"
"147",6.3,2.5,5,1.9,"Virginica"
"148",6.5,3,5.2,2,"Virginica"
