"","sepal.length","sepal.width","petal.length","petal.width","variety"
"2",4.9,3,1.4,0.2,"Setosa"
"5",5,3.6,1.4,0.2,"Setosa"
"10",4.9,3.1,1.5,0.1,"Setosa"
"11",5.4,3.7,1.5,0.2,"Setosa"
"17",5.4,3.9,1.3,0.4,"Setosa"
"26",5,3,1.6,0.2,"Setosa"
"27",5,3.4,1.6,0.4,"Setosa"
"31",4.8,3.1,1.6,0.2,"Setosa"
"37",5.5,3.5,1.3,0.2,"Setosa"
"41",5,3.5,1.3,0.3,"Setosa"
"59",6.6,2.9,4.6,1.3,"Versicolor"
"65",5.6,2.9,3.6,1.3,"Versicolor"
"67",5.6,3,4.5,1.5,"Versicolor"
"79",6,2.9,4.5,1.5,"Versicolor"
"87",6.7,3.1,4.7,1.5,"Versicolor"
"97",5.7,2.9,4.2,1.3,"Versicolor"
"100",5.7,2.8,4.1,1.3,"Versicolor"
"101",6.3,3.3,6,2.5,"Virginica"
"105",6.5,3,5.8,2.2,"Virginica"
"107",4.9,2.5,4.5,1.7,"Virginica"
"135",6.1,2.6,5.6,1.4,"Virginica"
"136",7.7,3,6.1,2.3,"Virginica"
"138",6.4,3.1,5.5,1.8,"Virginica"
"141",6.7,3.1,5.6,2.4,"Virginica"
"145",6.7,3.3,5.7,2.5,"Virginica"
"146",6.7,3,5.2,2.3,"Virginica"
"147",6.3,2.5,5,1.9,"Virginica"
"149",6.2,3.4,5.4,2.3,"Virginica"
"150",5.9,3,5.1,1.8,"Virginica"
